id,label
"tensor(2, device='cuda:0')","[5.773092559557824e-10, 1.474645232313332e-11, 0.9999991655349731, 7.630762866028817e-07, 3.1772199888396857e-12, 6.115381268045894e-08]"
"tensor(0, device='cuda:0')","[0.9999990463256836, 2.42902030954395e-12, 8.941357236835756e-07, 9.868176819817536e-19, 1.756196021940326e-10, 2.615037908437756e-10]"
"tensor(4, device='cuda:0')","[1.871029269295832e-07, 8.069236945296154e-10, 4.607638923181945e-11, 3.205283261031866e-11, 0.9999997615814209, 2.0684902679590778e-09]"
"tensor(4, device='cuda:0')","[2.3522170522483066e-06, 1.1965159529836455e-08, 1.916239167343292e-09, 9.905073428129185e-10, 0.999997615814209, 4.0984676985544866e-08]"
"tensor(4, device='cuda:0')","[1.8045084004825185e-07, 2.2850191183643176e-10, 5.062123636934146e-11, 1.6355692841751868e-11, 0.9999997615814209, 8.951801522272262e-10]"
"tensor(4, device='cuda:0')","[6.537079855206684e-08, 7.476912144976922e-11, 1.229502524097148e-11, 1.6326459281734707e-11, 0.9999998807907104, 1.7490712211909454e-09]"
"tensor(2, device='cuda:0')","[5.841500083647588e-08, 1.9240206650117386e-11, 1.0, 1.205890526323472e-10, 6.616452177810039e-14, 1.4754308885756018e-08]"
"tensor(4, device='cuda:0')","[3.75342850134075e-08, 8.167450743501448e-11, 4.930006489850536e-12, 3.1191347248105128e-12, 1.0, 2.8802996099308587e-10]"
"tensor(1, device='cuda:0')","[2.3193487408423863e-10, 0.9999943971633911, 4.87715124108945e-06, 2.2305097768793303e-09, 1.042067890311138e-10, 6.928666493877245e-07]"
"tensor(0, device='cuda:0')","[0.9999825954437256, 2.892912853713625e-10, 1.742443419061601e-05, 1.1636654037618641e-15, 3.8220644427156e-09, 2.0189334648534896e-08]"
"tensor(5, device='cuda:0')","[8.916871685471506e-09, 4.349629989519599e-07, 0.00019931224233005196, 2.494884029147215e-06, 1.5956045729126345e-07, 0.999797523021698]"
"tensor(5, device='cuda:0')","[7.382423916624248e-08, 1.5851629768803832e-06, 0.4445704519748688, 0.0018831065390259027, 1.1410462974481561e-07, 0.5535447001457214]"
"tensor(1, device='cuda:0')","[1.0545111450710465e-08, 0.9999598264694214, 3.733334960998036e-05, 2.658930675636384e-08, 3.0233060499540443e-09, 2.897571448556846e-06]"
"tensor(0, device='cuda:0')","[0.9999897480010986, 2.135619903143038e-09, 1.0303929229849018e-05, 1.00138361077101e-14, 5.1765621122967787e-08, 3.882201582428024e-08]"
"tensor(4, device='cuda:0')","[2.3056429654388921e-07, 1.0750058621056269e-08, 4.994740732122693e-10, 8.527706318872674e-10, 0.9999997615814209, 9.287869140450766e-09]"
"tensor(3, device='cuda:0')","[3.01280024043249e-17, 1.718989707522045e-11, 5.214470277792316e-08, 1.0, 3.874146781157606e-09, 1.9878105828041726e-09]"
"tensor(2, device='cuda:0')","[5.823202400279115e-07, 3.421175787110542e-09, 0.9999988079071045, 5.1206607842857466e-09, 6.1788196087375624e-12, 5.95244500800618e-07]"
"tensor(4, device='cuda:0')","[1.0727866310844547e-06, 5.255479162968868e-09, 4.852971358104696e-10, 6.948392416994409e-10, 0.9999988079071045, 5.825426541150591e-08]"
"tensor(4, device='cuda:0')","[9.999619976497343e-08, 2.3786697611605234e-10, 1.8388712427763743e-11, 8.89778181689671e-12, 0.9999998807907104, 6.453229617342515e-10]"
"tensor(0, device='cuda:0')","[0.999994158744812, 1.7625524303954698e-11, 5.860170404048404e-06, 5.411067324284022e-18, 1.3141274179950813e-10, 9.817409107881758e-10]"
"tensor(4, device='cuda:0')","[4.2579888059890436e-08, 1.3497214630675547e-11, 1.0259056625050444e-11, 5.101824344933004e-12, 1.0, 4.711433465587334e-10]"
"tensor(4, device='cuda:0')","[1.71373883972592e-07, 4.385561913622382e-10, 3.120373751053229e-11, 4.329641159483977e-11, 0.9999998807907104, 4.832943822918878e-09]"
"tensor(4, device='cuda:0')","[1.3048307323515473e-07, 1.809071920044758e-10, 1.2927466389034414e-11, 1.712539311748973e-11, 0.9999998807907104, 3.718751084846872e-09]"
"tensor(2, device='cuda:0')","[2.0093260388875933e-08, 9.359389929741724e-10, 0.999984622001648, 5.903234523430001e-07, 2.671441713675282e-11, 1.4778705917706247e-05]"
"tensor(2, device='cuda:0')","[6.089646842344365e-11, 4.070268289080303e-10, 0.9908192753791809, 0.009178299456834793, 7.017892378335944e-10, 2.3809145659470232e-06]"
"tensor(1, device='cuda:0')","[3.111924229415308e-08, 0.9999723434448242, 2.4837898308760487e-05, 2.9728512984661393e-09, 3.00436253652947e-09, 2.6929712930723326e-06]"
"tensor(1, device='cuda:0')","[1.9957164809625283e-08, 0.9999595880508423, 3.412462319829501e-05, 2.625020201207917e-09, 8.417156971418649e-10, 6.27266399533255e-06]"
"tensor(1, device='cuda:0')","[4.565794853306215e-09, 0.9999910593032837, 6.88360432832269e-06, 3.5188314484457806e-09, 2.0694705948898218e-09, 2.0694974409707356e-06]"
"tensor(5, device='cuda:0')","[2.795347427309025e-06, 3.0266288376878947e-05, 0.00018706981791183352, 6.7349651544645894e-06, 2.5195173293468542e-05, 0.9997478127479553]"
"tensor(1, device='cuda:0')","[3.5025149003331535e-08, 0.9998632669448853, 0.0001276982220588252, 9.390729971414657e-09, 1.4527283820342518e-09, 8.9415716502117e-06]"
"tensor(1, device='cuda:0')","[7.791988720917686e-10, 0.9999969005584717, 2.6015384264610475e-06, 2.7360609333726416e-09, 8.284394836799436e-10, 4.280076382201514e-07]"
"tensor(4, device='cuda:0')","[1.6355619663954712e-05, 3.336310214763216e-07, 6.918505590647328e-08, 4.615614912495403e-08, 0.9999825954437256, 5.864935133104154e-07]"
"tensor(4, device='cuda:0')","[1.1803952020272845e-06, 4.736035563723817e-09, 4.000421105487817e-10, 3.5775651885394666e-10, 0.9999988079071045, 3.3997242354644186e-08]"
"tensor(5, device='cuda:0')","[2.586839400464669e-07, 2.7434966796135996e-06, 0.0021412670612335205, 1.8971524013977614e-06, 1.293060307716587e-07, 0.997853696346283]"
"tensor(0, device='cuda:0')","[0.9999974966049194, 1.1947859368532932e-10, 2.5370375169586623e-06, 2.0670859695895937e-16, 6.50607567820316e-09, 5.6135216475183825e-09]"
"tensor(3, device='cuda:0')","[8.715598450332327e-16, 6.746519315425914e-11, 4.09104643495084e-07, 0.9999995231628418, 9.203080963970933e-09, 2.0911016918034875e-08]"
"tensor(4, device='cuda:0')","[1.4541926418587536e-07, 3.658449654331264e-10, 1.8143235178125217e-11, 1.9834720671463302e-11, 0.9999998807907104, 4.492125782462608e-09]"
"tensor(4, device='cuda:0')","[4.460538889361487e-07, 1.211079125873482e-09, 8.151930519506578e-11, 5.360901306206145e-11, 0.9999995231628418, 5.693880478219171e-09]"
"tensor(5, device='cuda:0')","[0.00026014569448307157, 0.00020515335199888796, 0.9592786431312561, 6.989733265072573e-06, 2.793014743929234e-07, 0.040248773992061615]"
"tensor(5, device='cuda:0')","[9.84597863862291e-06, 6.395140417225775e-07, 0.9985398054122925, 4.838259997086425e-07, 2.43144060441125e-09, 0.0014492450281977654]"
"tensor(3, device='cuda:0')","[3.04005799890315e-15, 3.134032200424741e-10, 8.051395070651779e-07, 0.9999991655349731, 1.8599241258243637e-08, 3.844869311819821e-08]"
"tensor(1, device='cuda:0')","[1.5337910497237317e-08, 0.9999740123748779, 1.7801479771151207e-05, 5.671115577143837e-09, 2.120511544134729e-09, 8.278962013719138e-06]"
"tensor(1, device='cuda:0')","[9.685759323474485e-07, 0.9995737671852112, 0.0003480279410723597, 2.732934945015586e-07, 1.6370256616937695e-07, 7.689723133808002e-05]"
"tensor(0, device='cuda:0')","[0.9999988079071045, 3.8973915783037383e-13, 1.21692676202656e-06, 1.0920901151080218e-19, 2.1486258952596593e-11, 1.2689346795546896e-10]"
"tensor(5, device='cuda:0')","[7.52321156483049e-08, 7.969457556100679e-07, 4.979522418580018e-05, 2.7805426725535654e-06, 4.341454314271687e-06, 0.9999421834945679]"
"tensor(1, device='cuda:0')","[1.9361949821217195e-09, 0.9999874830245972, 1.017361046251608e-05, 1.2651805825214524e-08, 1.2029333085195049e-09, 2.4181756543839583e-06]"
"tensor(1, device='cuda:0')","[4.55224480333527e-08, 0.9999462366104126, 3.54139156115707e-05, 6.212623304691078e-08, 1.928652437754863e-08, 1.8157894373871386e-05]"
"tensor(4, device='cuda:0')","[4.2187855342490366e-07, 1.3695867773222403e-09, 7.23924697965117e-10, 6.463278245938398e-10, 0.9999995231628418, 1.3890554484419226e-08]"
"tensor(0, device='cuda:0')","[0.9999575614929199, 1.0814672712911033e-08, 4.225832526572049e-05, 6.643156077318357e-14, 4.932826769277199e-08, 1.5407860587401956e-07]"
"tensor(5, device='cuda:0')","[4.9991520256753574e-08, 1.0493363333807793e-06, 0.07712366431951523, 0.04794495552778244, 3.481855856080074e-06, 0.874926745891571]"
